,leaddays,arrivaldate_weekday_weekend,arrivaldate_weekday_midweek,arrivaldate_weekday_earlyweek,channel_id_6,channel_id_7,channel_id_13,channel_id_1,channel_id_12,channel_id_others,lang_id_1,lang_id_3
0,104,0,0,1,0,0,0,1,0,0,1,0
1,66,0,0,1,0,0,1,0,0,0,1,0
2,42,0,0,1,0,0,1,0,0,0,1,0
3,42,0,0,1,0,0,1,0,0,0,1,0
4,39,0,0,1,0,0,1,0,0,0,1,0
5,49,0,1,0,0,0,1,0,0,0,1,0
6,17,1,0,0,0,0,0,0,1,0,1,0
7,13,0,0,1,0,0,1,0,0,0,1,0
8,16,0,1,0,0,0,1,0,0,0,1,0
9,7,0,1,0,0,0,1,0,0,0,1,0
10,21,0,0,1,0,0,1,0,0,0,1,0
11,13,0,1,0,0,0,1,0,0,0,1,0
12,112,0,1,0,0,0,0,0,0,1,1,0
13,5,1,0,0,1,0,0,0,0,0,1,0
14,62,0,1,0,1,0,0,0,0,0,1,0
15,3,0,1,0,1,0,0,0,0,0,1,0
16,28,0,1,0,1,0,0,0,0,0,1,0
17,53,0,1,0,1,0,0,0,0,0,1,0
18,65,1,0,0,1,0,0,0,0,0,1,0
19,0,0,0,1,1,0,0,0,0,0,1,0
20,93,1,0,0,1,0,0,0,0,0,1,0
21,8,0,0,1,1,0,0,0,0,0,1,0
22,0,0,1,0,1,0,0,0,0,0,1,0
23,35,0,0,1,1,0,0,0,0,0,1,0
24,43,0,1,0,1,0,0,0,0,0,1,0
25,57,0,0,1,1,0,0,0,0,0,1,0
26,81,0,0,1,1,0,0,0,0,0,1,0
27,16,0,1,0,1,0,0,0,0,0,1,0
28,27,0,1,0,1,0,0,0,0,0,1,0
29,56,0,1,0,1,0,0,0,0,0,1,0
30,23,1,0,0,1,0,0,0,0,0,1,0
31,8,1,0,0,1,0,0,0,0,0,1,0
32,12,0,1,0,1,0,0,0,0,0,1,0
33,20,0,1,0,1,0,0,0,0,0,1,0
34,69,1,0,0,1,0,0,0,0,0,1,0
35,30,0,1,0,1,0,0,0,0,0,1,0
36,61,1,0,0,1,0,0,0,0,0,1,0
37,14,0,1,0,0,0,1,0,0,0,1,0
38,5,0,0,1,0,1,0,0,0,0,1,0
39,10,0,0,1,0,1,0,0,0,0,1,0
40,56,1,0,0,1,0,0,0,0,0,1,0
41,21,0,1,0,0,1,0,0,0,0,1,0
42,7,0,1,0,0,1,0,0,0,0,1,0
43,89,1,0,0,1,0,0,0,0,0,1,0
44,7,1,0,0,0,1,0,0,0,0,1,0
45,2,0,1,0,0,1,0,0,0,0,1,0
46,13,0,0,1,0,0,1,0,0,0,1,0
47,8,0,1,0,0,1,0,0,0,0,1,0
48,2,0,1,0,1,0,0,0,0,0,1,0
49,131,0,1,0,1,0,0,0,0,0,1,0
50,8,0,1,0,0,1,0,0,0,0,1,0
51,37,1,0,0,1,0,0,0,0,0,1,0
52,49,0,1,0,1,0,0,0,0,0,1,0
53,0,1,0,0,0,1,0,0,0,0,1,0
54,0,0,0,1,1,0,0,0,0,0,1,0
55,20,0,1,0,0,1,0,0,0,0,1,0
56,33,0,0,1,0,1,0,0,0,0,1,0
57,4,0,0,1,0,1,0,0,0,0,1,0
58,3,0,0,1,0,0,1,0,0,0,1,0
59,6,0,0,1,0,0,1,0,0,0,1,0
60,39,0,0,1,0,1,0,0,0,0,1,0
61,7,0,1,0,0,0,1,0,0,0,1,0
62,2,1,0,0,1,0,0,0,0,0,1,0
63,27,0,1,0,0,1,0,0,0,0,1,0
64,0,0,1,0,0,1,0,0,0,0,1,0
65,24,1,0,0,1,0,0,0,0,0,1,0
66,0,1,0,0,1,0,0,0,0,0,1,0
67,66,1,0,0,0,1,0,0,0,0,1,0
68,6,1,0,0,0,1,0,0,0,0,1,0
69,12,0,0,1,0,1,0,0,0,0,1,0
70,13,0,0,1,1,0,0,0,0,0,1,0
71,2,0,0,1,0,1,0,0,0,0,1,0
72,2,0,0,1,1,0,0,0,0,0,1,0
73,4,0,0,1,0,1,0,0,0,0,1,0
74,22,1,0,0,0,1,0,0,0,0,1,0
75,1,0,1,0,0,1,0,0,0,0,1,0
76,7,1,0,0,0,1,0,0,0,0,1,0
