Adults,Children,LeadDays,LengthOfStay,ArrivalDate-WeekDay
1,0,51,1,Friday
2,0,0,5,Wednesday
4,0,27,1,Wednesday
4,2,1,4,Friday
2,0,1,4,Friday
3,0,43,3,Tuesday
2,0,1,3,Saturday
1,2,27,1,Friday
4,0,54,5,Wednesday
1,0,30,4,Saturday
1,0,22,3,Monday
6,0,36,3,Wednesday
4,0,38,4,Saturday
1,0,1,4,Wednesday
3,1,13,8,Friday
3,0,76,5,Friday
6,0,25,6,Friday
3,0,37,2,Friday
3,0,3,7,Thursday
2,1,87,1,Thursday
4,1,74,1,Wednesday
5,0,39,3,Friday
4,1,13,7,Friday
2,0,81,5,Wednesday
4,0,82,4,Saturday
2,0,58,3,Tuesday
4,1,40,1,Saturday
5,1,32,4,Saturday
1,1,29,9,Thursday
1,2,66,1,Sunday
6,0,85,1,Sunday
1,0,42,5,Saturday
2,0,99,6,Wednesday
3,0,22,1,Wednesday
2,1,79,1,Friday
1,2,27,9,Wednesday
2,2,1,1,Sunday
1,2,54,5,Friday
6,2,52,4,Friday
1,1,17,4,Wednesday
4,0,25,5,Wednesday
2,2,0,2,Wednesday
6,0,22,8,Saturday
1,2,75,4,Wednesday
1,1,0,2,Tuesday
3,0,98,4,Thursday
6,0,29,2,Saturday
2,0,35,3,Monday
1,0,68,1,Wednesday
2,1,90,4,Saturday
1,1,99,2,Saturday
1,0,25,3,Monday
1,1,0,5,Tuesday
2,0,6,1,Saturday
1,0,82,2,Saturday
4,1,22,2,Friday
4,1,53,2,Monday
2,0,5,2,Friday
2,0,1,7,Saturday
2,0,21,1,Wednesday
3,0,83,1,Saturday
6,1,7,3,Tuesday
4,1,23,8,Saturday
6,0,0,1,Friday
5,1,64,1,Saturday
2,0,39,9,Monday
1,2,7,1,Friday
1,0,9,2,Friday
1,2,17,6,Sunday
2,0,83,1,Sunday
1,1,1,2,Friday
6,0,13,5,Saturday
3,0,34,2,Saturday
4,0,6,7,Saturday
1,1,49,5,Saturday
2,0,92,9,Sunday
2,0,19,1,Friday
3,1,0,1,Sunday
1,2,10,3,Sunday
2,0,0,4,Saturday
1,0,28,1,Sunday
1,1,51,5,Friday
1,2,2,5,Saturday
2,1,59,4,Tuesday
3,1,51,7,Sunday
6,0,69,1,Monday
6,2,0,1,Saturday
5,2,0,7,Friday
1,0,71,7,Saturday
6,1,1,2,Friday
1,0,46,1,Friday
1,1,1,2,Monday
1,2,58,3,Thursday
6,1,48,4,Tuesday
1,0,13,1,Saturday
4,1,1,1,Monday
4,1,2,2,Saturday
5,1,4,2,Saturday
6,1,3,3,Sunday
1,0,4,8,Friday
1,0,40,2,Saturday
5,2,12,9,Friday
2,0,49,2,Saturday
6,2,100,2,Monday
3,2,2,2,Monday
2,1,18,6,Friday
1,1,8,5,Friday
5,0,100,5,Thursday
2,1,46,9,Wednesday
5,0,86,1,Thursday
2,0,53,2,Tuesday
2,2,2,4,Wednesday
1,1,9,8,Friday
1,2,7,1,Friday
1,0,25,1,Saturday
1,2,72,6,Saturday
1,0,53,5,Sunday
1,0,76,8,Sunday
1,1,6,5,Saturday
3,1,18,2,Monday
2,0,2,4,Saturday
1,0,25,1,Monday
1,2,23,4,Monday
1,1,47,4,Saturday
4,0,30,5,Friday
1,2,47,1,Thursday
1,1,27,6,Thursday
1,1,44,7,Friday
2,0,2,2,Monday
2,2,22,7,Friday
1,0,27,6,Friday
3,2,5,1,Monday
2,2,80,9,Sunday
4,2,54,5,Monday
1,0,92,8,Tuesday
3,2,39,8,Thursday
2,1,0,1,Saturday
6,0,79,2,Thursday
4,1,18,1,Sunday
3,0,31,9,Monday
2,0,39,1,Monday
3,0,85,7,Saturday
4,0,27,6,Saturday
5,0,70,8,Tuesday
4,1,9,7,Saturday
5,1,42,1,Saturday
2,0,20,5,Thursday
6,0,17,1,Monday
6,0,27,4,Sunday
5,0,22,2,Sunday
5,0,100,7,Friday
3,2,76,8,Friday
2,1,1,4,Saturday
2,0,16,1,Wednesday
1,0,72,7,Tuesday
6,1,27,1,Thursday
1,2,8,4,Saturday
3,1,0,7,Monday
2,0,2,5,Friday
1,0,55,1,Wednesday
2,1,20,9,Thursday
6,0,85,8,Wednesday
2,0,10,4,Tuesday
4,1,18,1,Saturday
1,1,0,2,Saturday
1,2,2,5,Friday
1,0,5,2,Saturday
5,0,66,8,Sunday
1,0,78,2,Thursday
2,0,11,1,Friday
6,0,3,5,Sunday
6,1,80,8,Saturday
6,0,1,2,Friday
5,2,23,8,Tuesday
2,0,93,3,Friday
3,1,49,1,Saturday
5,2,33,1,Tuesday
6,1,47,9,Friday
6,0,72,1,Sunday
1,0,31,1,Sunday
6,0,40,8,Wednesday
2,0,31,8,Friday
2,0,66,5,Saturday
3,0,50,1,Tuesday
4,0,41,3,Sunday
6,1,47,1,Saturday
5,2,21,1,Friday
1,1,10,1,Saturday
4,1,19,1,Wednesday
1,0,97,1,Monday
4,0,0,4,Sunday
2,1,59,5,Friday
1,2,30,4,Friday
6,0,5,1,Wednesday
6,0,2,1,Tuesday
1,1,42,7,Friday
5,2,34,7,Saturday
2,0,1,1,Wednesday
1,1,39,3,Saturday
3,0,16,6,Thursday
5,0,2,4,Friday
3,0,55,6,Saturday
5,1,88,1,Saturday
4,2,1,3,Friday
1,2,4,7,Monday
2,1,17,2,Friday
1,0,27,9,Tuesday
3,1,48,1,Friday
1,0,79,1,Tuesday
