,Adults,Children,LeadDays,LengthOfStay,ArrivalDate-WeekDay,1005,1032,1033,1034,1039,1042,1047,1050,1051,1052,1078,1080,40000,40006,1000,1014,1001
0,1,0,51,1,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,5,Wednesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,4,0,27,1,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,2,1,4,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,1,4,Friday,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5,3,0,43,3,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,1,3,Saturday,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,1,2,27,1,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,0,54,5,Wednesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,30,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,1,0,22,3,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,0,36,3,Wednesday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,0,38,4,Saturday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,1,4,Wednesday,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,3,1,13,8,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,0,76,5,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,6,0,25,6,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,0,37,2,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,0,3,7,Thursday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,1,87,1,Thursday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,4,1,74,1,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,5,0,39,3,Friday,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22,4,1,13,7,Friday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,2,0,81,5,Wednesday,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24,4,0,82,4,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
25,2,0,58,3,Tuesday,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,4,1,40,1,Saturday,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
27,5,1,32,4,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,1,1,29,9,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,2,66,1,Sunday,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
30,6,0,85,1,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,1,0,42,5,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,0,99,6,Wednesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
