ArrivalDate-Weekday;Arrival-Month;LeadDays;channel-id;lang-id
SUNDAY   ;2;104;1;1
MONDAY   ;1;66;13;1
MONDAY   ;1;42;13;1
MONDAY   ;1;42;13;1
MONDAY   ;1;39;13;1
WEDNESDAY;1;49;13;1
FRIDAY   ;1;17;12;1
MONDAY   ;1;13;13;1
WEDNESDAY;1;16;13;1
TUESDAY  ;1;7;13;1
MONDAY   ;2;21;13;1
WEDNESDAY;1;13;13;1
WEDNESDAY;6;112;3;1
SATURDAY ;8;5;6;1
TUESDAY  ;7;62;6;1
WEDNESDAY;5;3;6;1
TUESDAY  ;9;28;6;1
THURSDAY ;8;53;6;1
FRIDAY   ;6;65;6;1
MONDAY   ;7;0;6;1
FRIDAY   ;8;93;6;1
SUNDAY   ;6;8;6;1
THURSDAY ;6;0;6;1
SUNDAY   ;7;35;6;1
WEDNESDAY;6;43;6;1
MONDAY   ;12;57;6;1
SUNDAY   ;7;81;6;1
THURSDAY ;8;16;6;1
TUESDAY  ;6;27;6;1
WEDNESDAY;12;56;6;1
SATURDAY ;10;23;6;1
SATURDAY ;4;8;6;1
WEDNESDAY;7;12;6;1
WEDNESDAY;5;20;6;1
FRIDAY   ;6;69;6;1
WEDNESDAY;10;30;6;1
SATURDAY ;10;61;6;1
WEDNESDAY;10;14;13;1
MONDAY   ;10;5;7;1
MONDAY   ;1;10;7;1
FRIDAY   ;9;56;6;1
WEDNESDAY;5;21;7;1
TUESDAY  ;2;7;7;1
FRIDAY   ;8;89;6;1
FRIDAY   ;9;7;7;1
THURSDAY ;7;2;7;1
SUNDAY   ;10;13;13;1
THURSDAY ;2;8;7;1
THURSDAY ;3;2;6;1
TUESDAY  ;6;131;6;1
WEDNESDAY;4;8;7;1
FRIDAY   ;5;37;6;1
THURSDAY ;9;49;6;1
FRIDAY   ;5;0;7;1
MONDAY   ;9;0;6;1
WEDNESDAY;10;20;7;1
MONDAY   ;6;33;7;1
MONDAY   ;1;4;7;1
SUNDAY   ;3;3;13;1
MONDAY   ;6;6;13;1
MONDAY   ;8;39;7;1
THURSDAY ;9;7;13;1
FRIDAY   ;10;2;6;1
TUESDAY  ;9;27;7;1
THURSDAY ;2;0;7;1
FRIDAY   ;6;24;6;1
SATURDAY ;6;0;6;1
FRIDAY   ;9;66;7;1
SATURDAY ;8;6;7;1
SUNDAY   ;10;12;7;1
MONDAY   ;9;13;6;1
SUNDAY   ;8;2;7;1
SUNDAY   ;4;2;6;1
MONDAY   ;4;4;7;1
SATURDAY ;8;22;7;1
THURSDAY ;7;1;7;1
FRIDAY   ;7;7;7;1
FRIDAY   ;4;1;6;1
MONDAY   ;10;27;6;1
THURSDAY ;7;24;13;1
SUNDAY   ;8;18;7;1
MONDAY   ;2;20;7;1
WEDNESDAY;5;49;7;1
MONDAY   ;5;5;7;1
FRIDAY   ;10;15;7;1
MONDAY   ;9;60;7;1
FRIDAY   ;7;73;6;1
SATURDAY ;6;58;6;1
FRIDAY   ;7;60;7;1
THURSDAY ;4;27;7;1
SUNDAY   ;6;111;7;1
THURSDAY ;3;6;6;1
SATURDAY ;4;1;7;1
WEDNESDAY;3;4;7;1
WEDNESDAY;4;8;7;1
MONDAY   ;8;57;6;1
THURSDAY ;2;24;7;1
THURSDAY ;7;2;7;1
TUESDAY  ;9;20;7;1
FRIDAY   ;8;0;6;1
FRIDAY   ;3;39;7;1
TUESDAY  ;4;14;7;1
SUNDAY   ;10;65;13;1
FRIDAY   ;5;205;6;1
THURSDAY ;3;16;6;1
SATURDAY ;3;1;7;1
SUNDAY   ;2;20;7;1
WEDNESDAY;4;15;7;1
FRIDAY   ;4;0;7;1
WEDNESDAY;9;0;7;1
FRIDAY   ;3;2;6;1
MONDAY   ;3;41;13;1
SATURDAY ;4;3;7;1
TUESDAY  ;7;12;7;1
SUNDAY   ;6;2;7;1
FRIDAY   ;10;15;7;1
THURSDAY ;7;2;7;1
WEDNESDAY;1;9;7;1
WEDNESDAY;4;8;7;1
MONDAY   ;8;5;7;1
SUNDAY   ;9;22;7;1
TUESDAY  ;6;47;6;1
FRIDAY   ;4;23;7;1
MONDAY   ;11;61;7;1
THURSDAY ;8;12;6;1
TUESDAY  ;2;4;7;1
MONDAY   ;10;21;7;1
FRIDAY   ;9;39;6;1
MONDAY   ;6;0;7;1
SUNDAY   ;11;53;7;1
FRIDAY   ;6;15;7;1
MONDAY   ;4;24;7;1
THURSDAY ;1;92;7;1
SATURDAY ;7;24;7;1
THURSDAY ;6;2;6;1
FRIDAY   ;4;1;7;1
WEDNESDAY;4;49;7;1
SUNDAY   ;1;10;7;1
MONDAY   ;1;5;7;1
WEDNESDAY;10;103;6;1
SUNDAY   ;2;4;7;1
THURSDAY ;3;3;7;1
THURSDAY ;2;8;7;1
THURSDAY ;5;13;13;1
THURSDAY ;3;6;13;1
THURSDAY ;3;0;7;1
SUNDAY   ;1;33;7;1
WEDNESDAY;3;8;6;1
WEDNESDAY;1;90;7;1
MONDAY   ;5;6;6;1
MONDAY   ;8;9;6;1
MONDAY   ;9;31;6;1
THURSDAY ;8;24;7;1
MONDAY   ;6;5;7;1
SATURDAY ;12;87;7;1
SUNDAY   ;10;88;7;1
FRIDAY   ;8;2;6;1
MONDAY   ;1;3;7;1
TUESDAY  ;4;14;7;1
MONDAY   ;10;86;6;1
TUESDAY  ;3;4;6;1
SUNDAY   ;4;0;7;1
TUESDAY  ;4;1;7;1
FRIDAY   ;6;37;7;1
WEDNESDAY;1;28;7;1
THURSDAY ;6;6;6;1
SUNDAY   ;6;4;7;1
FRIDAY   ;8;1;6;1
SUNDAY   ;3;12;7;1
FRIDAY   ;5;3;6;1
MONDAY   ;1;0;7;1
WEDNESDAY;7;9;7;1
FRIDAY   ;4;0;7;1
WEDNESDAY;7;9;7;1
SATURDAY ;8;10;7;1
THURSDAY ;8;6;7;1
WEDNESDAY;6;41;7;1
SATURDAY ;6;2;6;1
SUNDAY   ;8;0;7;1
WEDNESDAY;9;0;7;1
MONDAY   ;1;10;7;1
WEDNESDAY;1;7;7;1
FRIDAY   ;9;9;7;1
MONDAY   ;3;7;6;1
SUNDAY   ;6;48;7;1
SUNDAY   ;2;3;7;1
THURSDAY ;5;32;6;1
MONDAY   ;7;29;6;1
THURSDAY ;9;8;7;1
TUESDAY  ;4;7;7;1
WEDNESDAY;9;15;7;1
SATURDAY ;4;2;7;1
SATURDAY ;2;0;6;1
SATURDAY ;9;24;6;1
THURSDAY ;7;1;7;1
FRIDAY   ;6;60;6;1
SUNDAY   ;8;2;6;1
TUESDAY  ;5;8;7;1
TUESDAY  ;3;18;7;1
SUNDAY   ;2;3;7;1
WEDNESDAY;4;1;7;1
TUESDAY  ;10;1;6;1
SUNDAY   ;4;34;13;1
THURSDAY ;1;4;7;1
MONDAY   ;3;68;7;1
THURSDAY ;4;22;7;1
WEDNESDAY;1;1;7;1
SUNDAY   ;1;9;7;1
WEDNESDAY;5;5;6;1
WEDNESDAY;2;3;6;1
TUESDAY  ;7;6;6;1
SUNDAY   ;4;0;7;1
THURSDAY ;8;82;6;1
TUESDAY  ;3;8;13;1
SATURDAY ;6;1;7;1
SUNDAY   ;2;44;6;1
TUESDAY  ;1;43;7;1
WEDNESDAY;9;7;7;1
WEDNESDAY;6;28;13;1
SUNDAY   ;7;16;7;1
WEDNESDAY;8;10;6;1
MONDAY   ;2;3;6;1
WEDNESDAY;4;15;7;1
MONDAY   ;1;4;7;1
THURSDAY ;5;6;6;1
THURSDAY ;3;10;6;1
FRIDAY   ;8;1;6;1
SATURDAY ;4;0;7;1
THURSDAY ;8;21;7;1
WEDNESDAY;5;47;7;1
THURSDAY ;4;0;7;1
FRIDAY   ;9;7;6;1
TUESDAY  ;2;21;7;1
MONDAY   ;1;10;7;1
TUESDAY  ;1;62;7;1
FRIDAY   ;7;3;7;1
THURSDAY ;3;10;7;1
THURSDAY ;9;2;7;1
THURSDAY ;9;21;7;1
WEDNESDAY;4;15;7;1
MONDAY   ;7;6;6;1
SATURDAY ;6;18;7;1
FRIDAY   ;8;44;7;1
WEDNESDAY;1;3;7;1
SUNDAY   ;5;2;7;1
MONDAY   ;7;110;6;1
FRIDAY   ;4;0;7;1
THURSDAY ;8;27;6;1
MONDAY   ;10;11;7;1
WEDNESDAY;5;7;7;1
TUESDAY  ;4;14;7;1
FRIDAY   ;10;0;7;1
THURSDAY ;6;12;6;1
MONDAY   ;9;7;6;1
TUESDAY  ;9;7;6;1
WEDNESDAY;7;126;7;1
MONDAY   ;5;60;7;1
MONDAY   ;6;10;6;1
SATURDAY ;9;157;6;1
SATURDAY ;6;18;7;1
THURSDAY ;1;21;7;1
SUNDAY   ;7;4;7;1
TUESDAY  ;5;2;6;1
SATURDAY ;5;1;6;1
THURSDAY ;5;22;7;1
FRIDAY   ;2;0;7;1
FRIDAY   ;6;10;7;1
TUESDAY  ;9;21;7;1
WEDNESDAY;1;13;7;1
WEDNESDAY;10;21;6;1
SUNDAY   ;9;2;7;1
FRIDAY   ;6;5;6;1
WEDNESDAY;7;9;7;1
