;adults;children;leaddays;lengthofstay;arrivaldateweekday;channel;language;currency;cluster
0;1;0;0;1;sunday;web;en-us;usd;Transient
1;1;0;0;1;sunday;web;en-us;eur;Transient
2;1;0;0;1;sunday;web;en-us;gbp;Transient
3;1;0;0;1;sunday;web;en-us;others;Transient
4;1;0;0;1;sunday;web;fr-fr;usd;Transient
5;1;0;0;1;sunday;web;fr-fr;eur;Transient
6;1;0;0;1;sunday;web;fr-fr;gbp;Transient
7;1;0;0;1;sunday;web;fr-fr;others;Transient
8;1;0;0;1;sunday;web;de-de;usd;Transient
9;1;0;0;1;sunday;web;de-de;eur;Transient
10;1;0;0;1;sunday;web;de-de;gbp;Transient
11;1;0;0;1;sunday;web;de-de;others;Transient
12;1;0;0;1;sunday;web;it-it;usd;Transient
13;1;0;0;1;sunday;web;it-it;eur;Transient
14;1;0;0;1;sunday;web;it-it;gbp;Transient
15;1;0;0;1;sunday;web;it-it;others;Transient
16;1;0;0;1;sunday;web;es-es;usd;Transient
17;1;0;0;1;sunday;web;es-es;eur;Transient
18;1;0;0;1;sunday;web;es-es;gbp;Transient
19;1;0;0;1;sunday;web;es-es;others;Transient
20;1;0;0;1;sunday;web;others;usd;Transient
21;1;0;0;1;sunday;web;others;eur;Transient
22;1;0;0;1;sunday;web;others;gbp;Transient
23;1;0;0;1;sunday;web;others;others;Transient
24;1;0;0;1;sunday;sbe;en-us;usd;Transient
25;1;0;0;1;sunday;sbe;en-us;eur;Transient
26;1;0;0;1;sunday;sbe;en-us;gbp;Transient
27;1;0;0;1;sunday;sbe;en-us;others;Transient
28;1;0;0;1;sunday;sbe;fr-fr;usd;Transient
29;1;0;0;1;sunday;sbe;fr-fr;eur;Transient
30;1;0;0;1;sunday;sbe;fr-fr;gbp;Transient
31;1;0;0;1;sunday;sbe;fr-fr;others;Transient
32;1;0;0;1;sunday;sbe;de-de;usd;Transient
33;1;0;0;1;sunday;sbe;de-de;eur;Transient
34;1;0;0;1;sunday;sbe;de-de;gbp;Transient
35;1;0;0;1;sunday;sbe;de-de;others;Transient
36;1;0;0;1;sunday;sbe;it-it;usd;Transient
37;1;0;0;1;sunday;sbe;it-it;eur;Transient
38;1;0;0;1;sunday;sbe;it-it;gbp;Transient
39;1;0;0;1;sunday;sbe;it-it;others;Transient
40;1;0;0;1;sunday;sbe;es-es;usd;Transient
41;1;0;0;1;sunday;sbe;es-es;eur;Transient
42;1;0;0;1;sunday;sbe;es-es;gbp;Transient
43;1;0;0;1;sunday;sbe;es-es;others;Transient
44;1;0;0;1;sunday;sbe;others;usd;Transient
45;1;0;0;1;sunday;sbe;others;eur;Transient
46;1;0;0;1;sunday;sbe;others;gbp;Transient
47;1;0;0;1;sunday;sbe;others;others;Transient
48;1;0;0;1;sunday;mobileweb;en-us;usd;Transient
49;1;0;0;1;sunday;mobileweb;en-us;eur;Transient
50;1;0;0;1;sunday;mobileweb;en-us;gbp;Transient
51;1;0;0;1;sunday;mobileweb;en-us;others;Transient
52;1;0;0;1;sunday;mobileweb;fr-fr;usd;Transient
53;1;0;0;1;sunday;mobileweb;fr-fr;eur;Transient
54;1;0;0;1;sunday;mobileweb;fr-fr;gbp;Transient
55;1;0;0;1;sunday;mobileweb;fr-fr;others;Transient
56;1;0;0;1;sunday;mobileweb;de-de;usd;Transient
57;1;0;0;1;sunday;mobileweb;de-de;eur;Transient
58;1;0;0;1;sunday;mobileweb;de-de;gbp;Transient
59;1;0;0;1;sunday;mobileweb;de-de;others;Transient
60;1;0;0;1;sunday;mobileweb;it-it;usd;Transient
61;1;0;0;1;sunday;mobileweb;it-it;eur;Transient
62;1;0;0;1;sunday;mobileweb;it-it;gbp;Transient
63;1;0;0;1;sunday;mobileweb;it-it;others;Transient
64;1;0;0;1;sunday;mobileweb;es-es;usd;Transient
65;1;0;0;1;sunday;mobileweb;es-es;eur;Transient
66;1;0;0;1;sunday;mobileweb;es-es;gbp;Transient
