ArrivalDate-Weekday;Arrival-Month;channel-id;LeadDays;lang-id;nights-qty;room-qty;adult-qty;child-qty;infant-qty
SUNDAY   ;2;1;104;1;2;1;1;0;0
MONDAY   ;1;13;66;1;1;1;1;0;0
MONDAY   ;1;13;42;1;1;1;1;0;0
MONDAY   ;1;13;42;1;1;1;1;0;0
MONDAY   ;1;13;39;1;1;1;1;0;0
WEDNESDAY;1;13;49;1;1;1;1;0;0
FRIDAY   ;1;12;17;1;4;1;2;0;0
MONDAY   ;1;13;13;1;2;1;1;0;0
WEDNESDAY;1;13;16;1;3;1;1;0;0
TUESDAY  ;1;13;7;1;1;1;1;0;0
MONDAY   ;2;13;21;1;4;1;1;0;0
WEDNESDAY;1;13;13;1;1;1;1;0;0
WEDNESDAY;6;3;112;1;1;1;1;0;0
SATURDAY ;8;6;5;1;1;1;2;0;0
TUESDAY  ;7;6;62;1;2;1;1;0;0
WEDNESDAY;5;6;3;1;3;1;2;0;0
TUESDAY  ;9;6;28;1;1;1;1;0;0
THURSDAY ;8;6;53;1;3;1;2;0;0
FRIDAY   ;6;6;65;1;6;1;2;0;0
MONDAY   ;7;6;0;1;2;1;1;0;0
FRIDAY   ;8;6;93;1;4;1;2;0;0
SUNDAY   ;6;6;8;1;2;1;2;0;0
THURSDAY ;6;6;0;1;1;1;2;0;0
SUNDAY   ;7;6;35;1;6;1;1;0;0
WEDNESDAY;6;6;43;1;4;1;2;0;0
MONDAY   ;12;6;57;1;6;1;2;0;0
SUNDAY   ;7;6;81;1;6;1;1;0;0
THURSDAY ;8;6;16;1;1;1;2;0;0
TUESDAY  ;6;6;27;1;3;1;2;0;0
WEDNESDAY;12;6;56;1;1;1;2;0;0
SATURDAY ;10;6;23;1;1;1;2;0;0
SATURDAY ;4;6;8;1;1;1;2;0;0
WEDNESDAY;7;6;12;1;4;1;1;0;0
WEDNESDAY;5;6;20;1;4;1;1;0;0
FRIDAY   ;6;6;69;1;4;1;2;0;0
WEDNESDAY;10;6;30;1;2;1;2;0;0
SATURDAY ;10;6;61;1;3;1;2;0;0
WEDNESDAY;10;13;14;1;1;1;1;0;0
MONDAY   ;10;7;5;1;3;1;1;0;0
MONDAY   ;1;7;10;1;1;1;1;0;0
FRIDAY   ;9;6;56;1;3;1;2;0;0
WEDNESDAY;5;7;21;1;2;1;1;0;0
TUESDAY  ;2;7;7;1;1;1;1;0;0
FRIDAY   ;8;6;89;1;4;1;2;0;0
FRIDAY   ;9;7;7;1;3;1;2;0;0
THURSDAY ;7;7;2;1;1;1;1;0;0
SUNDAY   ;10;13;13;1;2;1;1;0;0
THURSDAY ;2;7;8;1;3;1;1;0;0
THURSDAY ;3;6;2;1;2;1;2;0;0
TUESDAY  ;6;6;131;1;5;1;2;0;0
WEDNESDAY;4;7;8;1;4;1;2;0;0
FRIDAY   ;5;6;37;1;2;1;2;0;0
THURSDAY ;9;6;49;1;2;1;2;0;0
FRIDAY   ;5;7;0;1;1;1;1;0;0
MONDAY   ;9;6;0;1;1;1;2;0;0
WEDNESDAY;10;7;20;1;3;1;1;0;0
MONDAY   ;6;7;33;1;1;1;1;0;0
MONDAY   ;1;7;4;1;5;1;1;0;0
SUNDAY   ;3;13;3;1;6;1;1;0;0
MONDAY   ;6;13;6;1;2;1;1;0;0
MONDAY   ;8;7;39;1;10;1;2;1;0
THURSDAY ;9;13;7;1;1;1;1;0;0
FRIDAY   ;10;6;2;1;1;1;1;0;0
TUESDAY  ;9;7;27;1;2;1;2;0;0
THURSDAY ;2;7;0;1;3;1;2;0;0
FRIDAY   ;6;6;24;1;3;1;3;0;0
SATURDAY ;6;6;0;1;1;1;2;0;0
FRIDAY   ;9;7;66;1;1;1;1;0;0
SATURDAY ;8;7;6;1;11;1;1;0;0
SUNDAY   ;10;7;12;1;7;1;1;0;0
MONDAY   ;9;6;13;1;1;1;1;0;0
SUNDAY   ;8;7;2;1;3;1;2;0;0
SUNDAY   ;4;6;2;1;2;1;2;0;0
MONDAY   ;4;7;4;1;2;1;2;0;0
SATURDAY ;8;7;22;1;4;1;2;0;0
THURSDAY ;7;7;1;1;2;1;2;0;0
FRIDAY   ;7;7;7;1;1;1;2;2;0
FRIDAY   ;4;6;1;1;1;1;2;0;0
MONDAY   ;10;6;27;1;1;1;2;0;0
THURSDAY ;7;13;24;1;3;1;2;0;0
SUNDAY   ;8;7;18;1;8;1;2;0;0
MONDAY   ;2;7;20;1;6;1;1;0;0
WEDNESDAY;5;7;49;1;3;1;1;0;0
MONDAY   ;5;7;5;1;4;1;1;0;0
FRIDAY   ;10;7;15;1;2;1;1;0;0
MONDAY   ;9;7;60;1;4;1;2;0;0
FRIDAY   ;7;6;73;1;7;1;3;0;0
SATURDAY ;6;6;58;1;6;1;2;0;0
FRIDAY   ;7;7;60;1;1;1;2;2;0
THURSDAY ;4;7;27;1;3;1;2;0;0
SUNDAY   ;6;7;111;1;2;1;2;1;0
THURSDAY ;3;6;6;1;1;1;1;0;0
SATURDAY ;4;7;1;1;1;1;1;0;0
WEDNESDAY;3;7;4;1;4;1;2;0;0
WEDNESDAY;4;7;8;1;4;1;1;0;0
MONDAY   ;8;6;57;1;5;1;1;0;0
THURSDAY ;2;7;24;1;3;1;1;0;0
THURSDAY ;7;7;2;1;9;1;1;0;0
TUESDAY  ;9;7;20;1;1;1;1;0;0
FRIDAY   ;8;6;0;1;2;1;2;0;0
FRIDAY   ;3;7;39;1;4;1;2;0;0
TUESDAY  ;4;7;14;1;5;1;1;0;0
SUNDAY   ;10;13;65;1;3;1;1;0;0
FRIDAY   ;5;6;205;1;2;1;2;0;0
THURSDAY ;3;6;16;1;1;1;1;0;0
SATURDAY ;3;7;1;1;2;1;2;0;0
SUNDAY   ;2;7;20;1;5;1;1;0;0
WEDNESDAY;4;7;15;1;4;1;1;0;0
FRIDAY   ;4;7;0;1;1;1;1;0;0
WEDNESDAY;9;7;0;1;1;1;2;0;0
FRIDAY   ;3;6;2;1;2;1;2;0;0
MONDAY   ;3;13;41;1;2;1;1;0;0
SATURDAY ;4;7;3;1;2;1;1;0;0
TUESDAY  ;7;7;12;1;4;1;3;0;0
SUNDAY   ;6;7;2;1;2;1;1;0;0
FRIDAY   ;10;7;15;1;1;1;1;0;0
THURSDAY ;7;7;2;1;1;1;1;0;0
WEDNESDAY;1;7;9;1;4;1;2;0;0
WEDNESDAY;4;7;8;1;4;1;1;0;0
MONDAY   ;8;7;5;1;2;1;1;0;0
SUNDAY   ;9;7;22;1;4;1;2;0;0
TUESDAY  ;6;6;47;1;4;1;2;0;0
FRIDAY   ;4;7;23;1;2;1;2;0;0
MONDAY   ;11;7;61;1;4;1;3;0;0
THURSDAY ;8;6;12;1;1;1;2;0;0
TUESDAY  ;2;7;4;1;3;1;1;0;0
MONDAY   ;10;7;21;1;2;1;2;0;0
FRIDAY   ;9;6;39;1;3;1;2;0;0
MONDAY   ;6;7;0;1;1;1;1;0;0
SUNDAY   ;11;7;53;1;2;1;3;0;0
FRIDAY   ;6;7;15;1;2;1;1;0;0
MONDAY   ;4;7;24;1;13;1;1;0;0
THURSDAY ;1;7;92;1;6;1;2;0;0
SATURDAY ;7;7;24;1;5;1;2;0;0
THURSDAY ;6;6;2;1;1;1;2;0;0
FRIDAY   ;4;7;1;1;4;1;2;2;0
WEDNESDAY;4;7;49;1;2;1;2;0;0
SUNDAY   ;1;7;10;1;2;1;1;0;0
MONDAY   ;1;7;5;1;3;1;1;0;0
WEDNESDAY;10;6;103;1;3;1;2;0;0
SUNDAY   ;2;7;4;1;1;1;2;0;0
THURSDAY ;3;7;3;1;6;1;1;0;0
THURSDAY ;2;7;8;1;1;1;1;0;0
THURSDAY ;5;13;13;1;1;1;1;0;0
THURSDAY ;3;13;6;1;1;1;1;0;0
THURSDAY ;3;7;0;1;1;1;2;0;0
SUNDAY   ;1;7;33;1;2;1;2;0;0
WEDNESDAY;3;6;8;1;1;1;1;0;0
WEDNESDAY;1;7;90;1;3;1;1;0;0
MONDAY   ;5;6;6;1;1;1;2;0;0
MONDAY   ;8;6;9;1;2;1;2;0;0
MONDAY   ;9;6;31;1;5;1;2;0;0
THURSDAY ;8;7;24;1;2;1;2;0;0
MONDAY   ;6;7;5;1;16;1;2;0;0
SATURDAY ;12;7;87;1;3;1;2;1;0
SUNDAY   ;10;7;88;1;3;1;1;0;0
FRIDAY   ;8;6;2;1;2;1;2;0;0
MONDAY   ;1;7;3;1;1;1;1;0;0
TUESDAY  ;4;7;14;1;4;1;1;0;0
MONDAY   ;10;6;86;1;2;1;2;1;0
TUESDAY  ;3;6;4;1;4;1;2;0;0
SUNDAY   ;4;7;0;1;2;1;2;0;0
TUESDAY  ;4;7;1;1;2;1;1;0;0
FRIDAY   ;6;7;37;1;15;1;3;0;0
WEDNESDAY;1;7;28;1;4;1;2;0;0
THURSDAY ;6;6;6;1;1;1;2;0;0
SUNDAY   ;6;7;4;1;5;1;1;0;0
FRIDAY   ;8;6;1;1;1;1;2;0;0
SUNDAY   ;3;7;12;1;4;1;1;0;0
FRIDAY   ;5;6;3;1;1;1;3;0;0
MONDAY   ;1;7;0;1;2;1;1;0;0
WEDNESDAY;7;7;9;1;4;1;1;0;0
FRIDAY   ;4;7;0;1;1;1;1;0;0
WEDNESDAY;7;7;9;1;2;1;1;0;0
SATURDAY ;8;7;10;1;4;1;1;0;0
THURSDAY ;8;7;6;1;6;1;1;0;0
WEDNESDAY;6;7;41;1;1;1;1;0;0
