ArrivalDate-Weekday;Arrival-Month;LeadDays;nights-qty;room-qty;adult-qty;child-qty;infant-qty;rm-class-id
TUESDAY  ;1;28;2;1;1;0;0;3
WEDNESDAY;1;49;1;1;1;0;0;3
THURSDAY ;1;15;1;1;1;0;0;3
WEDNESDAY;1;7;3;1;1;0;0;3
SUNDAY   ;1;17;1;1;1;0;0;3
TUESDAY  ;1;14;1;1;1;0;0;3
WEDNESDAY;2;21;2;1;1;0;0;3
TUESDAY  ;2;4;2;1;1;0;0;3
TUESDAY  ;2;7;1;1;1;0;0;3
MONDAY   ;6;123;2;1;2;0;0;3
SATURDAY ;3;3;1;1;1;0;0;3
THURSDAY ;3;22;1;1;1;0;0;3
SATURDAY ;7;33;1;1;2;0;0;3
THURSDAY ;4;41;2;1;2;0;0;3
WEDNESDAY;12;145;3;1;2;0;0;3
TUESDAY  ;6;52;4;1;1;0;0;3
WEDNESDAY;3;40;3;1;3;0;0;3
SATURDAY ;4;16;3;1;3;0;0;3
SATURDAY ;8;88;6;1;2;0;0;3
SATURDAY ;8;18;5;1;2;0;0;3
MONDAY   ;4;29;4;1;2;0;0;3
THURSDAY ;6;8;4;1;3;0;0;3
SATURDAY ;6;4;2;1;2;0;0;3
SATURDAY ;4;40;1;1;2;0;0;3
MONDAY   ;6;112;2;1;2;0;0;3
SATURDAY ;11;26;1;1;2;0;0;3
THURSDAY ;8;90;1;1;3;0;0;3
MONDAY   ;6;46;4;1;2;0;0;3
THURSDAY ;3;14;1;1;2;0;0;3
MONDAY   ;4;29;4;1;2;0;0;3
SATURDAY ;10;117;6;1;2;0;0;3
SATURDAY ;10;14;1;1;2;0;0;3
WEDNESDAY;9;62;1;1;1;0;0;3
WEDNESDAY;3;1;3;1;1;0;0;3
SATURDAY ;3;3;1;1;1;0;0;3
SATURDAY ;7;1;1;1;1;0;0;3
SATURDAY ;5;0;1;1;2;0;0;3
FRIDAY   ;2;113;5;1;2;0;0;3
FRIDAY   ;4;23;2;1;1;0;0;3
SATURDAY ;7;87;2;1;2;0;0;3
MONDAY   ;4;3;1;1;1;0;0;3
FRIDAY   ;11;39;7;1;1;0;0;3
WEDNESDAY;3;1;1;1;2;0;0;3
MONDAY   ;10;7;1;1;1;0;0;3
SATURDAY ;6;17;6;1;2;0;0;3
WEDNESDAY;9;9;1;1;1;0;0;3
WEDNESDAY;4;8;5;1;1;0;0;3
SUNDAY   ;7;3;6;1;1;0;0;3
MONDAY   ;5;64;4;1;1;0;0;3
MONDAY   ;9;31;5;1;2;0;0;3
SUNDAY   ;4;44;3;1;2;0;0;0
MONDAY   ;10;13;2;1;1;0;0;3
THURSDAY ;3;2;7;1;2;0;0;3
THURSDAY ;9;16;1;1;1;0;0;3
TUESDAY  ;3;15;4;1;2;1;0;3
MONDAY   ;5;6;1;1;1;0;0;3
SATURDAY ;3;0;1;1;2;0;0;3
MONDAY   ;1;47;2;1;1;0;0;3
SUNDAY   ;9;1;4;1;1;0;0;3
TUESDAY  ;4;0;1;1;1;0;0;3
SUNDAY   ;3;1;1;1;2;0;0;3
TUESDAY  ;4;7;1;1;2;0;0;3
FRIDAY   ;5;2;3;1;1;0;0;3
SATURDAY ;7;17;1;1;1;0;0;3
MONDAY   ;5;42;2;1;1;0;0;3
THURSDAY ;6;17;1;1;1;0;0;3
FRIDAY   ;8;8;1;1;2;0;0;3
WEDNESDAY;9;1;2;1;2;0;0;3
MONDAY   ;8;55;3;1;2;0;0;3
SATURDAY ;4;12;3;1;2;0;0;3
MONDAY   ;10;95;2;1;2;0;0;3
SATURDAY ;4;0;3;1;3;0;0;3
SATURDAY ;7;23;7;1;2;0;0;3
