,adults,children,leaddays,lengthofstay,arrivaldateweekday,channel,language,currency,cluster,Predicted_Cluster
0,1,0,0,1,sunday,web,en-us,usd,Transient,transient
1,1,0,0,1,sunday,web,en-us,eur,Transient,transient
2,1,0,0,1,sunday,web,en-us,gbp,Transient,transient
3,1,0,0,1,sunday,web,en-us,others,Transient,transient
4,1,0,0,1,sunday,web,fr-fr,usd,Transient,transient
5,1,0,0,1,sunday,web,fr-fr,eur,Transient,transient
6,1,0,0,1,sunday,web,fr-fr,gbp,Transient,transient
7,1,0,0,1,sunday,web,fr-fr,others,Transient,transient
8,1,0,0,1,sunday,web,de-de,usd,Transient,transient
9,1,0,0,1,sunday,web,de-de,eur,Transient,transient
10,1,0,0,1,sunday,web,de-de,gbp,Transient,transient
11,1,0,0,1,sunday,web,de-de,others,Transient,transient
12,1,0,0,1,sunday,web,it-it,usd,Transient,transient
13,1,0,0,1,sunday,web,it-it,eur,Transient,transient
14,1,0,0,1,sunday,web,it-it,gbp,Transient,transient
15,1,0,0,1,sunday,web,it-it,others,Transient,transient
16,1,0,0,1,sunday,web,es-es,usd,Transient,transient
17,1,0,0,1,sunday,web,es-es,eur,Transient,transient
18,1,0,0,1,sunday,web,es-es,gbp,Transient,transient
19,1,0,0,1,sunday,web,es-es,others,Transient,transient
20,1,0,0,1,sunday,web,others,usd,Transient,transient
21,1,0,0,1,sunday,web,others,eur,Transient,transient
22,1,0,0,1,sunday,web,others,gbp,Transient,transient
23,1,0,0,1,sunday,web,others,others,Transient,transient
24,1,0,0,1,sunday,sbe,en-us,usd,Transient,transient
25,1,0,0,1,sunday,sbe,en-us,eur,Transient,transient
26,1,0,0,1,sunday,sbe,en-us,gbp,Transient,transient
27,1,0,0,1,sunday,sbe,en-us,others,Transient,transient
28,1,0,0,1,sunday,sbe,fr-fr,usd,Transient,transient
29,1,0,0,1,sunday,sbe,fr-fr,eur,Transient,transient
30,1,0,0,1,sunday,sbe,fr-fr,gbp,Transient,transient
31,1,0,0,1,sunday,sbe,fr-fr,others,Transient,transient
32,1,0,0,1,sunday,sbe,de-de,usd,Transient,transient
33,1,0,0,1,sunday,sbe,de-de,eur,Transient,transient
34,1,0,0,1,sunday,sbe,de-de,gbp,Transient,transient
35,1,0,0,1,sunday,sbe,de-de,others,Transient,transient
36,1,0,0,1,sunday,sbe,it-it,usd,Transient,transient
37,1,0,0,1,sunday,sbe,it-it,eur,Transient,transient
38,1,0,0,1,sunday,sbe,it-it,gbp,Transient,transient
39,1,0,0,1,sunday,sbe,it-it,others,Transient,transient
40,1,0,0,1,sunday,sbe,es-es,usd,Transient,transient
41,1,0,0,1,sunday,sbe,es-es,eur,Transient,transient
42,1,0,0,1,sunday,sbe,es-es,gbp,Transient,transient
43,1,0,0,1,sunday,sbe,es-es,others,Transient,transient
44,1,0,0,1,sunday,sbe,others,usd,Transient,transient
45,1,0,0,1,sunday,sbe,others,eur,Transient,transient
46,1,0,0,1,sunday,sbe,others,gbp,Transient,transient
47,1,0,0,1,sunday,sbe,others,others,Transient,transient
48,1,0,0,1,sunday,mobileweb,en-us,usd,Transient,transient
49,1,0,0,1,sunday,mobileweb,en-us,eur,Transient,transient
50,1,0,0,1,sunday,mobileweb,en-us,gbp,Transient,transient
51,1,0,0,1,sunday,mobileweb,en-us,others,Transient,transient
52,1,0,0,1,sunday,mobileweb,fr-fr,usd,Transient,transient
53,1,0,0,1,sunday,mobileweb,fr-fr,eur,Transient,transient
54,1,0,0,1,sunday,mobileweb,fr-fr,gbp,Transient,transient
55,1,0,0,1,sunday,mobileweb,fr-fr,others,Transient,transient
56,1,0,0,1,sunday,mobileweb,de-de,usd,Transient,transient
57,1,0,0,1,sunday,mobileweb,de-de,eur,Transient,transient
58,1,0,0,1,sunday,mobileweb,de-de,gbp,Transient,transient
59,1,0,0,1,sunday,mobileweb,de-de,others,Transient,transient
60,1,0,0,1,sunday,mobileweb,it-it,usd,Transient,transient
61,1,0,0,1,sunday,mobileweb,it-it,eur,Transient,transient
62,1,0,0,1,sunday,mobileweb,it-it,gbp,Transient,transient
63,1,0,0,1,sunday,mobileweb,it-it,others,Transient,transient
64,1,0,0,1,sunday,mobileweb,es-es,usd,Transient,transient
65,1,0,0,1,sunday,mobileweb,es-es,eur,Transient,transient
66,1,0,0,1,sunday,mobileweb,es-es,gbp,Transient,transient
67,1,0,0,1,sunday,mobileweb,es-es,others,Transient,transient
68,1,0,0,1,sunday,mobileweb,others,usd,Transient,transient
69,1,0,0,1,sunday,mobileweb,others,eur,Transient,transient
70,1,0,0,1,sunday,mobileweb,others,gbp,Transient,transient
71,1,0,0,1,sunday,mobileweb,others,others,Transient,transient
72,1,0,0,1,sunday,gds,en-us,usd,Transient,transient
73,1,0,0,1,sunday,gds,en-us,eur,Transient,transient
74,1,0,0,1,sunday,gds,en-us,gbp,Transient,transient
75,1,0,0,1,sunday,gds,en-us,others,Transient,transient
76,1,0,0,1,sunday,gds,fr-fr,usd,Transient,transient
77,1,0,0,1,sunday,gds,fr-fr,eur,Transient,transient
78,1,0,0,1,sunday,gds,fr-fr,gbp,Transient,transient
79,1,0,0,1,sunday,gds,fr-fr,others,Transient,transient
80,1,0,0,1,sunday,gds,de-de,usd,Transient,transient
81,1,0,0,1,sunday,gds,de-de,eur,Transient,transient
82,1,0,0,1,sunday,gds,de-de,gbp,Transient,transient
83,1,0,0,1,sunday,gds,de-de,others,Transient,transient
84,1,0,0,1,sunday,gds,it-it,usd,Transient,transient
85,1,0,0,1,sunday,gds,it-it,eur,Transient,transient
86,1,0,0,1,sunday,gds,it-it,gbp,Transient,transient
87,1,0,0,1,sunday,gds,it-it,others,Transient,transient
88,1,0,0,1,sunday,gds,es-es,usd,Transient,transient
89,1,0,0,1,sunday,gds,es-es,eur,Transient,transient
90,1,0,0,1,sunday,gds,es-es,gbp,Transient,transient
91,1,0,0,1,sunday,gds,es-es,others,Transient,transient
92,1,0,0,1,sunday,gds,others,usd,Transient,transient
93,1,0,0,1,sunday,gds,others,eur,Transient,transient
94,1,0,0,1,sunday,gds,others,gbp,Transient,transient
95,1,0,0,1,sunday,gds,others,others,Transient,transient
96,1,0,0,1,sunday,others,en-us,usd,Transient,transient
97,1,0,0,1,sunday,others,en-us,eur,Transient,transient
98,1,0,0,1,sunday,others,en-us,gbp,Transient,transient
99,1,0,0,1,sunday,others,en-us,others,Transient,transient
100,1,0,0,1,sunday,others,fr-fr,usd,Transient,transient
101,1,0,0,1,sunday,others,fr-fr,eur,Transient,transient
102,1,0,0,1,sunday,others,fr-fr,gbp,Transient,transient
103,1,0,0,1,sunday,others,fr-fr,others,Transient,transient
104,1,0,0,1,sunday,others,de-de,usd,Transient,transient
105,1,0,0,1,sunday,others,de-de,eur,Transient,transient
106,1,0,0,1,sunday,others,de-de,gbp,Transient,transient
107,1,0,0,1,sunday,others,de-de,others,Transient,transient
108,1,0,0,1,sunday,others,it-it,usd,Transient,transient
109,1,0,0,1,sunday,others,it-it,eur,Transient,transient
110,1,0,0,1,sunday,others,it-it,gbp,Transient,transient
111,1,0,0,1,sunday,others,it-it,others,Transient,transient
112,1,0,0,1,sunday,others,es-es,usd,Transient,transient
113,1,0,0,1,sunday,others,es-es,eur,Transient,transient
114,1,0,0,1,sunday,others,es-es,gbp,Transient,transient
115,1,0,0,1,sunday,others,es-es,others,Transient,transient
116,1,0,0,1,sunday,others,others,usd,Transient,transient
117,1,0,0,1,sunday,others,others,eur,Transient,transient
118,1,0,0,1,sunday,others,others,gbp,Transient,transient
119,1,0,0,1,sunday,others,others,others,Transient,transient
120,1,0,0,1,monday,web,en-us,usd,Transient,transient
121,1,0,0,1,monday,web,en-us,eur,Transient,transient
122,1,0,0,1,monday,web,en-us,gbp,Transient,transient
123,1,0,0,1,monday,web,en-us,others,Transient,transient
124,1,0,0,1,monday,web,fr-fr,usd,Transient,transient
125,1,0,0,1,monday,web,fr-fr,eur,Transient,transient
126,1,0,0,1,monday,web,fr-fr,gbp,Transient,transient
127,1,0,0,1,monday,web,fr-fr,others,Transient,transient
128,1,0,0,1,monday,web,de-de,usd,Transient,transient
129,1,0,0,1,monday,web,de-de,eur,Transient,transient
130,1,0,0,1,monday,web,de-de,gbp,Transient,transient
131,1,0,0,1,monday,web,de-de,others,Transient,transient
132,1,0,0,1,monday,web,it-it,usd,Transient,transient
133,1,0,0,1,monday,web,it-it,eur,Transient,transient
134,1,0,0,1,monday,web,it-it,gbp,Transient,transient
135,1,0,0,1,monday,web,it-it,others,Transient,transient
136,1,0,0,1,monday,web,es-es,usd,Transient,transient
137,1,0,0,1,monday,web,es-es,eur,Transient,transient
138,1,0,0,1,monday,web,es-es,gbp,Transient,transient
139,1,0,0,1,monday,web,es-es,others,Transient,transient
140,1,0,0,1,monday,web,others,usd,Transient,transient
141,1,0,0,1,monday,web,others,eur,Transient,transient
142,1,0,0,1,monday,web,others,gbp,Transient,transient
143,1,0,0,1,monday,web,others,others,Transient,transient
144,1,0,0,1,monday,sbe,en-us,usd,Transient,transient
145,1,0,0,1,monday,sbe,en-us,eur,Transient,transient
146,1,0,0,1,monday,sbe,en-us,gbp,Transient,transient
147,1,0,0,1,monday,sbe,en-us,others,Transient,transient
148,1,0,0,1,monday,sbe,fr-fr,usd,Transient,transient
149,1,0,0,1,monday,sbe,fr-fr,eur,Transient,transient
150,1,0,0,1,monday,sbe,fr-fr,gbp,Transient,transient
151,1,0,0,1,monday,sbe,fr-fr,others,Transient,transient
152,1,0,0,1,monday,sbe,de-de,usd,Transient,transient
153,1,0,0,1,monday,sbe,de-de,eur,Transient,transient
154,1,0,0,1,monday,sbe,de-de,gbp,Transient,transient
155,1,0,0,1,monday,sbe,de-de,others,Transient,transient
156,1,0,0,1,monday,sbe,it-it,usd,Transient,transient
157,1,0,0,1,monday,sbe,it-it,eur,Transient,transient
158,1,0,0,1,monday,sbe,it-it,gbp,Transient,transient
159,1,0,0,1,monday,sbe,it-it,others,Transient,transient
160,1,0,0,1,monday,sbe,es-es,usd,Transient,transient
161,1,0,0,1,monday,sbe,es-es,eur,Transient,transient
162,1,0,0,1,monday,sbe,es-es,gbp,Transient,transient
163,1,0,0,1,monday,sbe,es-es,others,Transient,transient
164,1,0,0,1,monday,sbe,others,usd,Transient,transient
165,1,0,0,1,monday,sbe,others,eur,Transient,transient
166,1,0,0,1,monday,sbe,others,gbp,Transient,transient
167,1,0,0,1,monday,sbe,others,others,Transient,transient
168,1,0,0,1,monday,mobileweb,en-us,usd,Transient,transient
169,1,0,0,1,monday,mobileweb,en-us,eur,Transient,transient
170,1,0,0,1,monday,mobileweb,en-us,gbp,Transient,transient
171,1,0,0,1,monday,mobileweb,en-us,others,Transient,transient
172,1,0,0,1,monday,mobileweb,fr-fr,usd,Transient,transient
173,1,0,0,1,monday,mobileweb,fr-fr,eur,Transient,transient
174,1,0,0,1,monday,mobileweb,fr-fr,gbp,Transient,transient
175,1,0,0,1,monday,mobileweb,fr-fr,others,Transient,transient
176,1,0,0,1,monday,mobileweb,de-de,usd,Transient,transient
177,1,0,0,1,monday,mobileweb,de-de,eur,Transient,transient
178,1,0,0,1,monday,mobileweb,de-de,gbp,Transient,transient
179,1,0,0,1,monday,mobileweb,de-de,others,Transient,transient
180,1,0,0,1,monday,mobileweb,it-it,usd,Transient,transient
181,1,0,0,1,monday,mobileweb,it-it,eur,Transient,transient
182,1,0,0,1,monday,mobileweb,it-it,gbp,Transient,transient
183,1,0,0,1,monday,mobileweb,it-it,others,Transient,transient
184,1,0,0,1,monday,mobileweb,es-es,usd,Transient,transient
185,1,0,0,1,monday,mobileweb,es-es,eur,Transient,transient
186,1,0,0,1,monday,mobileweb,es-es,gbp,Transient,transient
187,1,0,0,1,monday,mobileweb,es-es,others,Transient,transient
188,1,0,0,1,monday,mobileweb,others,usd,Transient,transient
189,1,0,0,1,monday,mobileweb,others,eur,Transient,transient
190,1,0,0,1,monday,mobileweb,others,gbp,Transient,transient
191,1,0,0,1,monday,mobileweb,others,others,Transient,transient
192,1,0,0,1,monday,gds,en-us,usd,Transient,transient
193,1,0,0,1,monday,gds,en-us,eur,Transient,transient
194,1,0,0,1,monday,gds,en-us,gbp,Transient,transient
195,1,0,0,1,monday,gds,en-us,others,Transient,transient
196,1,0,0,1,monday,gds,fr-fr,usd,Transient,transient
197,1,0,0,1,monday,gds,fr-fr,eur,Transient,transient
198,1,0,0,1,monday,gds,fr-fr,gbp,Transient,transient
199,1,0,0,1,monday,gds,fr-fr,others,Transient,transient
200,1,0,0,1,monday,gds,de-de,usd,Transient,transient
201,1,0,0,1,monday,gds,de-de,eur,Transient,transient
202,1,0,0,1,monday,gds,de-de,gbp,Transient,transient
203,1,0,0,1,monday,gds,de-de,others,Transient,transient
204,1,0,0,1,monday,gds,it-it,usd,Transient,transient
205,1,0,0,1,monday,gds,it-it,eur,Transient,transient
206,1,0,0,1,monday,gds,it-it,gbp,Transient,transient
207,1,0,0,1,monday,gds,it-it,others,Transient,transient
208,1,0,0,1,monday,gds,es-es,usd,Transient,transient
209,1,0,0,1,monday,gds,es-es,eur,Transient,transient
210,1,0,0,1,monday,gds,es-es,gbp,Transient,transient
211,1,0,0,1,monday,gds,es-es,others,Transient,transient
212,1,0,0,1,monday,gds,others,usd,Transient,transient
213,1,0,0,1,monday,gds,others,eur,Transient,transient
214,1,0,0,1,monday,gds,others,gbp,Transient,transient
215,1,0,0,1,monday,gds,others,others,Transient,transient
216,1,0,0,1,monday,others,en-us,usd,Transient,transient
217,1,0,0,1,monday,others,en-us,eur,Transient,transient
218,1,0,0,1,monday,others,en-us,gbp,Transient,transient
219,1,0,0,1,monday,others,en-us,others,Transient,transient
220,1,0,0,1,monday,others,fr-fr,usd,Transient,transient
221,1,0,0,1,monday,others,fr-fr,eur,Transient,transient
222,1,0,0,1,monday,others,fr-fr,gbp,Transient,transient
223,1,0,0,1,monday,others,fr-fr,others,Transient,transient
224,1,0,0,1,monday,others,de-de,usd,Transient,transient
